Round,Winner,Loser,Games,YR
Western Conference First Round,San Antonio Spurs,Phoenix Suns,4,1998
Western Conference First Round,Seattle SuperSonics,Minnesota Timberwolves,5,1998
Western Conference First Round,Utah Jazz,Houston Rockets,5,1998
Finals,Los Angeles Lakers,Indiana Pacers,6,2000
Eastern Conference Finals,Indiana Pacers,New York Knicks,6,2000
Western Conference Finals,Los Angeles Lakers,Portland Trail Blazers,7,2000
Eastern Conference Semifinals,Indiana Pacers,Philadelphia 76ers,6,2000
Eastern Conference Semifinals,New York Knicks,Miami Heat,7,2000
Western Conference Semifinals,Los Angeles Lakers,Phoenix Suns,5,2000
Western Conference Semifinals,Portland Trail Blazers,Utah Jazz,5,2000
Eastern Conference First Round,Indiana Pacers,Milwaukee Bucks,5,2000
Eastern Conference First Round,Miami Heat,Detroit Pistons,3,2000
Eastern Conference First Round,New York Knicks,Toronto Raptors,3,2000
Eastern Conference First Round,Philadelphia 76ers,Charlotte Hornets,4,2000
Western Conference First Round,Los Angeles Lakers,Sacramento Kings,5,2000
Western Conference First Round,Phoenix Suns,San Antonio Spurs,4,2000
Western Conference First Round,Portland Trail Blazers,Minnesota Timberwolves,4,2000
Western Conference First Round,Utah Jazz,Seattle SuperSonics,5,2000
Finals,Los Angeles Lakers,Philadelphia 76ers,5,2001
Eastern Conference Finals,Philadelphia 76ers,Milwaukee Bucks,7,2001
Western Conference Finals,Los Angeles Lakers,San Antonio Spurs,4,2001
Eastern Conference Semifinals,Milwaukee Bucks,Charlotte Hornets,7,2001
Eastern Conference Semifinals,Philadelphia 76ers,Toronto Raptors,7,2001
Western Conference Semifinals,Los Angeles Lakers,Sacramento Kings,4,2001
Western Conference Semifinals,San Antonio Spurs,Dallas Mavericks,5,2001
Eastern Conference First Round,Charlotte Hornets,Miami Heat,3,2001
Eastern Conference First Round,Milwaukee Bucks,Orlando Magic,4,2001
Eastern Conference First Round,Philadelphia 76ers,Indiana Pacers,4,2001
Eastern Conference First Round,Toronto Raptors,New York Knicks,5,2001
Western Conference First Round,Dallas Mavericks,Utah Jazz,5,2001
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,3,2001
Western Conference First Round,Sacramento Kings,Phoenix Suns,4,2001
Western Conference First Round,San Antonio Spurs,Minnesota Timberwolves,4,2001
Finals,Chicago Bulls,Phoenix Suns,6,1993
Eastern Conference Finals,Chicago Bulls,New York Knicks,6,1993
Western Conference Finals,Phoenix Suns,Seattle SuperSonics,7,1993
Eastern Conference Semifinals,Chicago Bulls,Cleveland Cavaliers,4,1993
Eastern Conference Semifinals,New York Knicks,Charlotte Hornets,5,1993
Western Conference Semifinals,Phoenix Suns,San Antonio Spurs,6,1993
Western Conference Semifinals,Seattle SuperSonics,Houston Rockets,7,1993
Eastern Conference First Round,Charlotte Hornets,Boston Celtics,4,1993
Eastern Conference First Round,Chicago Bulls,Atlanta Hawks,3,1993
Eastern Conference First Round,Cleveland Cavaliers,New Jersey Nets,5,1993
Eastern Conference First Round,New York Knicks,Indiana Pacers,4,1993
Western Conference First Round,Houston Rockets,Los Angeles Clippers,5,1993
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,5,1993
Western Conference First Round,San Antonio Spurs,Portland Trail Blazers,4,1993
Western Conference First Round,Seattle SuperSonics,Utah Jazz,5,1993
Finals,Los Angeles Lakers,New Jersey Nets,4,2002
Eastern Conference Finals,New Jersey Nets,Boston Celtics,6,2002
Western Conference Finals,Los Angeles Lakers,Sacramento Kings,7,2002
Eastern Conference Semifinals,Boston Celtics,Detroit Pistons,5,2002
Eastern Conference Semifinals,New Jersey Nets,Charlotte Hornets,5,2002
Western Conference Semifinals,Los Angeles Lakers,San Antonio Spurs,5,2002
Western Conference Semifinals,Sacramento Kings,Dallas Mavericks,5,2002
Eastern Conference First Round,Boston Celtics,Philadelphia 76ers,5,2002
Eastern Conference First Round,Charlotte Hornets,Orlando Magic,4,2002
Eastern Conference First Round,Detroit Pistons,Toronto Raptors,5,2002
Eastern Conference First Round,New Jersey Nets,Indiana Pacers,5,2002
Western Conference First Round,Dallas Mavericks,Minnesota Timberwolves,3,2002
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,3,2002
Western Conference First Round,Sacramento Kings,Utah Jazz,4,2002
Western Conference First Round,San Antonio Spurs,Seattle SuperSonics,5,2002
