Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
22,Detroit Pistons,82,19880,41.4,90.0,0.46,6.4,17.0,0.376,35.0,73.0,0.479,18.5,25.1,0.737,12.6,30.3,42.9,23.4,8.1,4.4,14.4,22.1,107.7,2011
23,Boston Celtics,82,19780,40.6,83.5,0.486,5.5,15.0,0.365,35.1,68.5,0.513,19.6,25.4,0.77,8.6,34.1,42.7,25.8,9.1,4.6,16.0,22.5,106.2,2011
24,Portland Trail Blazers,82,19805,40.7,91.0,0.447,7.1,20.7,0.345,33.5,70.2,0.47700000000000004,20.3,25.3,0.804,13.7,30.7,44.5,23.9,9.1,4.9,14.7,21.8,108.8,2011
25,Cleveland Cavaliers,82,19755,37.7,86.8,0.434,6.6,19.4,0.342,31.0,67.3,0.461,20.2,27.1,0.745,11.2,32.0,43.2,22.5,7.1,4.5,15.2,21.5,102.2,2011
26,Atlanta Hawks,82,19730,40.5,87.6,0.462,6.8,19.4,0.35200000000000004,33.6,68.1,0.494,18.3,23.5,0.779,10.4,33.5,43.9,24.5,6.8,4.6,15.2,21.2,106.1,2011
27,New Orleans Hornets,82,19830,40.2,87.5,0.45899999999999996,6.1,16.8,0.36,34.1,70.7,0.48200000000000004,19.8,25.9,0.765,11.2,33.7,44.9,23.1,8.5,4.9,14.6,23.5,106.2,2011
28,New Jersey Nets,82,20005,38.9,88.6,0.44,6.1,17.8,0.34299999999999997,32.8,70.7,0.46399999999999997,19.0,25.1,0.759,12.1,32.6,44.7,23.0,6.1,5.1,15.4,24.1,103.1,2011
29,Charlotte Bobcats,82,19805,38.8,86.0,0.451,5.3,16.3,0.327,33.5,69.8,0.48,20.4,27.0,0.7559999999999999,11.5,33.0,44.5,23.4,7.1,5.9,16.1,22.1,103.4,2011
30,Milwaukee Bucks,82,19830,37.9,88.2,0.43,6.5,19.1,0.342,31.4,69.2,0.45399999999999996,19.2,25.4,0.757,11.6,33.4,45.1,20.8,8.3,5.4,14.9,22.7,101.6,2011
1,Phoenix Suns,82,19755,42.7,84.7,0.504,7.0,18.3,0.38299999999999995,35.7,66.5,0.537,21.2,28.5,0.7440000000000001,11.4,31.9,43.3,24.1,7.5,5.3,16.3,21.4,113.6,2009
