Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YR
1,Atlanta Hawks,82,19780,38.6,84.3,0.45799999999999996,0.6,2.2,0.251,38.0,82.1,0.46299999999999997,24.5,32.1,0.765,15.5,28.7,44.2,21.6,8.4,6.8,20.4,26.6,102.3,1980
2,Portland Trail Blazers,82,19780,41.2,86.3,0.478,0.7,2.3,0.29600000000000004,40.5,84.0,0.483,21.1,28.1,0.752,14.0,29.0,43.0,24.7,9.3,4.9,17.8,23.1,104.3,1980
3,Seattle SuperSonics,82,19830,40.5,88.3,0.45899999999999996,0.7,2.9,0.24600000000000002,39.8,85.4,0.466,19.5,25.5,0.764,14.3,28.6,42.9,24.0,8.7,4.7,18.1,23.7,101.2,1980
4,Philadelphia 76ers,82,19855,40.4,88.7,0.455,0.9,3.3,0.271,39.5,85.5,0.46299999999999997,19.2,25.2,0.765,15.5,27.6,43.1,24.5,10.3,4.6,18.3,24.6,101.0,1980
5,Kansas City Kings,82,19805,39.1,82.1,0.47600000000000003,0.5,2.0,0.23800000000000002,38.6,80.1,0.48200000000000004,22.4,29.3,0.763,13.4,31.0,44.4,20.9,8.2,5.0,20.7,24.3,101.0,1980
6,Boston Celtics,82,19880,40.5,86.0,0.47,0.9,3.0,0.28600000000000003,39.6,83.0,0.47700000000000004,20.1,26.1,0.77,13.7,27.0,40.7,22.0,8.1,4.9,19.2,24.2,101.9,1980
7,Milwaukee Bucks,82,19805,40.9,88.6,0.462,0.9,3.6,0.249,40.0,85.0,0.47100000000000003,20.3,26.9,0.753,16.1,27.1,43.2,25.5,8.5,4.2,19.4,22.6,102.9,1980
8,Phoenix Suns,82,19755,41.3,86.7,0.47600000000000003,1.2,3.4,0.337,40.1,83.2,0.48200000000000004,18.5,24.6,0.752,14.1,28.4,42.4,23.5,10.2,4.5,19.3,23.8,102.2,1980
9,Golden State Warriors,82,19880,41.3,83.8,0.493,0.9,2.6,0.32899999999999996,40.4,81.2,0.498,22.9,30.6,0.7490000000000001,12.7,30.8,43.5,25.1,8.6,4.3,17.8,21.4,106.3,1980
10,Utah Jazz,82,19805,44.2,89.2,0.496,0.8,2.6,0.318,43.4,86.6,0.501,21.1,27.4,0.772,14.4,28.4,42.8,24.8,8.8,4.9,15.8,22.1,110.4,1980
11,Los Angeles Lakers,82,19880,43.2,91.9,0.47,0.9,3.2,0.285,42.3,88.7,0.47700000000000004,16.6,21.9,0.759,15.2,26.0,41.2,27.0,9.2,4.4,16.5,21.6,103.9,1980
12,New Jersey Nets,82,19805,39.8,84.9,0.469,0.7,2.4,0.27899999999999997,39.1,82.5,0.474,22.4,29.4,0.7609999999999999,14.7,29.7,44.3,25.0,9.7,5.9,19.3,23.3,102.5,1980
13,Washington Bullets,82,19880,42.5,91.4,0.465,0.7,2.5,0.262,41.9,88.9,0.47100000000000003,20.0,25.7,0.777,14.1,31.4,45.5,24.9,8.6,6.1,14.4,22.4,105.7,1980
14,Chicago Bulls,82,19905,42.4,85.5,0.496,0.6,2.4,0.271,41.8,83.1,0.503,21.4,27.9,0.768,13.7,27.8,41.5,25.0,10.0,5.9,18.3,26.1,107.0,1980
15,Houston Rockets,82,19930,43.5,87.9,0.496,0.7,2.6,0.27,42.9,85.3,0.502,20.2,25.6,0.7879999999999999,15.4,27.6,42.9,26.5,9.3,5.1,19.0,24.4,108.0,1980
16,San Diego Clippers,82,19755,45.0,90.0,0.5,0.5,2.2,0.23,44.4,87.7,0.507,19.3,25.0,0.773,14.6,29.8,44.4,24.1,9.2,4.9,16.7,22.6,109.8,1980
17,Indiana Pacers,82,19855,42.7,87.3,0.489,0.6,2.6,0.24600000000000002,42.1,84.7,0.49700000000000005,20.1,26.6,0.7559999999999999,16.1,29.5,45.7,26.9,8.5,5.4,20.3,23.5,106.2,1980
18,Denver Nuggets,82,19830,43.5,88.4,0.49200000000000005,0.8,2.5,0.327,42.7,85.9,0.49700000000000005,19.8,26.0,0.76,13.9,30.1,44.1,26.7,9.5,5.3,16.7,23.7,107.6,1980
19,Cleveland Cavaliers,82,19930,43.4,86.7,0.501,0.7,2.5,0.29100000000000004,42.7,84.2,0.507,18.8,24.5,0.765,14.0,30.1,44.1,25.2,8.1,5.6,19.0,23.2,106.4,1980
20,New York Knicks,82,19780,42.2,85.4,0.495,0.6,2.3,0.278,41.6,83.1,0.501,22.4,29.1,0.77,14.7,27.7,42.4,24.4,9.3,4.4,19.3,23.3,107.5,1980
21,Detroit Pistons,82,19780,43.6,87.9,0.496,0.6,2.3,0.27699999999999997,42.9,85.6,0.502,21.0,27.2,0.773,14.9,29.1,44.1,26.1,9.9,5.3,17.9,21.2,108.8,1980
22,San Antonio Spurs,82,19755,44.4,88.7,0.5,1.0,3.2,0.306,43.4,85.6,0.507,19.2,25.3,0.758,13.8,27.4,41.3,28.2,9.2,5.1,16.8,24.3,109.0,1980
1,Milwaukee Bucks,82,19805,39.1,84.7,0.461,1.0,3.7,0.26,38.1,81.0,0.47,24.5,32.8,0.748,15.0,27.9,42.9,23.1,7.8,4.7,19.0,25.6,103.6,1985
2,Washington Bullets,82,19855,42.1,86.6,0.48700000000000004,0.8,2.8,0.284,41.3,83.8,0.493,19.6,26.2,0.747,13.5,32.2,45.7,24.0,7.6,4.8,17.7,22.1,104.6,1985
3,Seattle SuperSonics,82,19705,43.2,87.6,0.493,1.0,3.1,0.312,42.2,84.5,0.499,20.9,27.1,0.77,13.7,29.2,42.8,27.2,9.0,5.6,17.0,24.8,108.2,1985
4,Atlanta Hawks,82,19855,42.4,88.0,0.48200000000000004,0.6,2.6,0.217,41.9,85.4,0.49,21.9,28.9,0.758,16.1,29.2,45.3,25.3,8.2,4.5,18.0,23.9,107.3,1985
5,Boston Celtics,82,19705,43.7,91.6,0.47700000000000004,0.9,3.2,0.264,42.8,88.4,0.484,18.1,23.0,0.787,13.2,27.4,40.7,24.5,7.7,3.8,14.7,23.5,106.3,1985
6,Philadelphia 76ers,82,19805,42.0,86.0,0.488,1.0,3.7,0.257,41.0,82.3,0.499,22.3,28.8,0.775,14.2,26.1,40.3,25.7,9.1,4.7,18.4,26.5,107.3,1985
7,Dallas Mavericks,82,19855,44.4,88.1,0.504,1.2,3.9,0.308,43.2,84.2,0.513,19.4,25.4,0.763,13.0,30.2,43.2,25.8,7.0,5.3,16.4,25.3,109.3,1985
8,Utah Jazz,82,19755,40.8,87.9,0.46399999999999997,0.8,3.2,0.257,40.0,84.6,0.47200000000000003,20.9,27.4,0.762,15.7,30.6,46.3,23.9,9.3,5.1,18.6,24.0,103.4,1985
9,New Jersey Nets,82,19755,42.2,84.6,0.499,0.9,3.1,0.302,41.3,81.5,0.507,22.2,29.5,0.753,13.0,28.9,41.9,23.7,8.2,4.2,18.0,23.2,107.7,1985
10,Houston Rockets,82,19830,41.4,86.1,0.48100000000000004,1.1,3.1,0.349,40.4,83.1,0.486,22.3,28.7,0.778,13.7,26.3,40.0,25.1,9.2,4.9,17.7,22.5,106.3,1985
11,Chicago Bulls,82,19805,42.9,87.9,0.488,1.1,3.6,0.312,41.8,84.4,0.496,22.6,29.2,0.774,13.9,27.6,41.4,24.9,8.1,5.5,16.1,24.9,109.6,1985
12,New York Knicks,82,19830,40.5,81.9,0.495,0.8,2.8,0.293,39.7,79.1,0.502,27.8,36.6,0.759,14.8,29.2,44.0,26.1,8.1,5.4,19.3,24.8,109.6,1985
13,Phoenix Suns,82,19805,42.6,86.4,0.493,0.8,2.6,0.29,41.8,83.8,0.5,20.8,27.1,0.765,13.3,28.6,41.9,25.8,9.1,4.8,17.4,23.9,106.8,1985
14,Los Angeles Lakers,82,19755,43.1,89.9,0.48,1.0,3.5,0.28300000000000003,42.1,86.4,0.488,19.8,26.4,0.748,14.7,24.5,39.1,27.2,8.9,4.4,16.1,22.4,107.0,1985
15,Cleveland Cavaliers,82,19780,42.2,88.3,0.478,0.8,3.0,0.27699999999999997,41.4,85.3,0.485,23.4,30.4,0.769,14.4,29.2,43.6,26.4,7.3,5.1,16.2,25.0,108.7,1985
16,Los Angeles Clippers,82,19730,45.0,91.9,0.49,0.9,3.2,0.281,44.1,88.8,0.49700000000000005,19.3,25.5,0.758,15.0,27.5,42.5,27.3,9.3,5.1,15.0,22.7,110.3,1985
17,Portland Trail Blazers,82,19880,43.1,87.4,0.493,0.7,2.7,0.254,42.4,84.7,0.501,20.3,26.5,0.7659999999999999,14.8,27.2,42.0,26.1,8.5,5.4,18.7,25.2,107.2,1985
18,Detroit Pistons,82,19830,42.6,86.0,0.496,0.9,2.9,0.313,41.7,83.1,0.502,21.0,27.7,0.76,12.8,29.5,42.3,24.3,7.4,5.9,17.1,23.2,107.2,1985
19,San Antonio Spurs,82,19780,42.5,85.8,0.496,0.8,2.8,0.298,41.7,82.9,0.503,23.1,29.7,0.7759999999999999,13.3,26.4,39.7,26.6,8.7,5.5,17.4,25.1,109.0,1985
20,Indiana Pacers,82,19780,41.9,84.7,0.495,0.7,2.3,0.32,41.2,82.3,0.5,23.9,31.3,0.764,12.7,29.8,42.5,25.9,9.0,6.0,16.4,23.9,108.4,1985
21,Kansas City Kings,82,19755,44.3,86.8,0.51,0.8,3.0,0.251,43.5,83.8,0.519,22.8,29.6,0.769,13.6,26.4,39.9,27.3,8.9,6.0,16.6,25.7,112.1,1985
22,Denver Nuggets,82,19830,42.5,83.0,0.512,0.7,2.9,0.252,41.7,80.1,0.521,22.8,29.8,0.765,13.3,29.6,42.8,24.2,7.5,6.6,19.6,24.5,108.4,1985
23,Golden State Warriors,82,19855,45.0,83.9,0.536,0.7,2.6,0.259,44.3,81.3,0.545,22.5,29.6,0.758,12.9,29.5,42.4,27.4,7.6,5.5,18.5,25.5,113.0,1985
1,Philadelphia 76ers,82,19855,38.7,85.8,0.451,0.6,2.3,0.24,38.1,83.4,0.457,21.6,29.1,0.7440000000000001,15.0,26.7,41.8,23.8,9.6,4.4,19.2,23.9,99.5,1981
2,Boston Celtics,82,19780,40.6,87.8,0.462,0.4,1.7,0.21600000000000003,40.2,86.2,0.467,21.1,27.4,0.769,14.3,26.2,40.5,22.8,8.9,4.2,17.7,24.8,102.6,1981
3,Phoenix Suns,82,19755,39.1,83.8,0.466,0.8,2.4,0.33,38.3,81.3,0.47,20.4,27.6,0.7390000000000001,13.5,26.5,39.9,22.8,10.6,4.7,20.3,24.5,99.4,1981
